Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
86,Kennen,Support,49.75%,0.24%,0.06%,9.02,2.69,3.42,3.42,4,9102,10054,1284,95.1,0.31,0.37,6523,63,2
87,Kennen,Top,50.26%,1.07%,0.06%,4.72,5.13,5.37,6.55,6,19127,20325,3919,169.5,0.98,2.21,10921,34,4
88,Kha'Zix,Jungle,53.21%,8.59%,1.08%,7.25,8.21,5.28,5.58,9,16917,28106,13647,26.8,11.29,82.15,11086,1,17
89,Kindred,Jungle,48.36%,1.98%,0.08%,4.13,6.24,5.95,6.86,7,15352,25024,12762,32.4,13.5,74.22,10556,34,1
90,Kled,Support,54.18%,0.22%,0.16%,44.63,3.81,3.09,3.03,4,8795,14697,1232,98.8,1.08,0.54,6978,37,7
91,Kled,Top,49.38%,0.90%,0.16%,6.92,6.07,5.8,7.27,5,18033,32878,3743,158,2.38,3.05,11500,23,10
92,Kog'Maw,ADC,51.09%,1.93%,0.10%,4.73,7.58,6.35,7.13,8,25016,18949,2797,179.4,2.06,9.34,12345,3,1
93,Kog'Maw,Middle,48.38%,0.71%,0.10%,10.77,7.05,6.05,6.85,8,25868,17348,1405,188.6,1.98,9.83,12161,15,1
94,LeBlanc,Middle,46.90%,3.02%,1.11%,5.78,7.41,5.06,6.52,7,19285,20409,4391,145.2,1.35,5.13,10869,27,3
95,LeBlanc,Support,49.75%,0.63%,1.11%,14.84,3.83,3.07,3.37,5,8599,9991,1537,88.1,0.43,1.54,6553,40,3
96,Lee Sin,Jungle,47.30%,12.08%,1.64%,11.93,6.23,5.39,7.73,8,12258,25739,7418,25.6,8.81,72.1,10221,12,6
97,Leona,Support,50.99%,5.05%,1.61%,5.18,1.94,5.74,11.82,4,6572,17217,1809,31.8,0.05,0.06,7330,21,4
98,Lissandra,Middle,49.76%,1.15%,0.07%,3.91,5.71,5.86,8.75,7,19366,20070,2874,171.3,1.36,4.61,11124,37,0
99,Lissandra,Support,51.41%,0.21%,0.07%,9.39,2.82,3.46,4.58,5,8069,9826,927,98.2,0.44,0.94,6596,56,0
100,Lucian,ADC,47.32%,4.65%,0.19%,9.62,7.16,5.89,7.08,7,19843,19442,2675,183.8,2.66,9.36,12280,17,2
101,Lulu,Support,52.00%,9.69%,2.19%,7.71,1.48,4.56,13.26,4,5240,11874,1922,24.3,0.08,0.11,7284,3,0
102,Lux,Middle,51.09%,1.96%,0.11%,5.63,6.24,5.21,9.24,7,21187,14143,1125,159.1,0.98,3.67,11052,16,8
103,Lux,Support,50.49%,3.39%,0.11%,7.54,3.74,5.67,10.47,7,14311,11764,1114,39.4,0.36,0.7,8352,18,3
104,Malphite,Support,49.49%,1.13%,0.45%,6.72,3.27,4.86,6.59,8,11088,13214,1013,65.3,0.4,0.81,7301,48,3
105,Malphite,Top,51.24%,2.83%,0.45%,4.25,4.68,4.99,7.91,7,17613,19597,2210,150.7,1.1,2.07,10321,21,2
106,Malzahar,Middle,49.78%,1.24%,0.29%,7.51,4.98,5.44,7.75,6,20154,15300,1081,187.4,1.81,5.79,11664,34,11
107,Maokai,Support,49.28%,1.02%,0.10%,6,2.17,4.77,8.25,4,10648,17641,4753,55.9,0.3,0.3,6941,52,6
108,Maokai,Top,51.99%,1.94%,0.10%,4.52,3.32,4.93,9.19,4,17284,30681,10991,150,0.75,1.24,9846,14,1
109,Master Yi,Jungle,50.93%,3.37%,1.66%,5.77,7.72,6.36,4.65,9,15803,27171,11057,38.1,8.49,82.44,11343,15,5
110,Miss Fortune,ADC,49.89%,2.99%,0.07%,6.14,6.8,5.97,7.97,8,20005,17645,2063,180.9,2.07,7.7,12070,16,7
111,Miss Fortune,Support,46.43%,0.50%,0.07%,6.3,3.15,4.27,5.12,4,10128,10072,854,88,0.44,0.96,7076,69,7
112,Mordekaiser,Support,46.49%,0.63%,0.98%,26.2,2.62,3.38,1.89,6,8109,11686,2589,101.4,0.7,0.81,6267,68,2
113,Mordekaiser,Top,47.67%,3.56%,0.98%,6.14,5.84,5.99,4.9,7,19819,26921,7652,165.4,2.05,3.31,11176,18,4
114,Morgana,Support,49.38%,4.53%,3.04%,5.62,2.45,5.49,12.04,7,10409,14822,2996,27.8,0.3,0.41,7826,4,0
115,Nami,Support,50.37%,3.98%,0.03%,8.85,1.72,5.22,13.99,5,7455,12637,10844,15.7,0.06,0.08,7437,23,8
116,Nasus,Top,50.39%,1.92%,0.31%,3.98,5.16,5.37,5.46,7,18061,33034,1746,172,2.2,3.76,11466,6,1
117,Nautilus,Support,49.11%,6.11%,2.11%,6.62,2.13,5.77,11.25,4,7901,16337,1419,33.1,0.07,0.11,7292,13,9
118,Neeko,Middle,51.90%,0.82%,0.04%,NaN,6.02,5.96,7.81,8,19418,18373,2203,157.5,1.44,4.02,10934,38,2
119,Neeko,Support,47.81%,0.50%,0.04%,NaN,3.38,5.46,7.3,5,11733,13172,1220,55,0.4,0.89,7641,57,15
120,Nidalee,Jungle,48.76%,3.71%,0.37%,5.31,6.44,5.16,6.8,7,14866,25241,14868,27.7,13,85.13,10493,21,1
121,Nocturne,Jungle,51.03%,3.00%,0.38%,4.84,7.1,5.75,6.48,8,14826,27249,11705,37.6,8.01,86.18,11281,19,0
122,Nocturne,Middle,53.30%,0.76%,0.38%,16.72,8.07,6.25,6.25,6,18494,23972,5146,171.5,4.61,9,12264,10,10
123,Nunu & Willump,Jungle,51.53%,4.37%,1.29%,4.31,4.23,5.13,10.89,6,11175,33074,17015,35,6.66,71.02,9850,11,5
124,Nunu & Willump,Middle,48.26%,1.35%,1.29%,6.02,7.08,6.86,10.53,9,17869,30888,12658,129.5,1.49,3.72,10728,41,0
