Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
50,Ivern,Jungle,48.62%,0.76%,0.04%,2.43,2.33,4.8,11.21,4,8132,14044,6105,16.5,9.33,79.22,8789,45,0
51,Janna,Support,53.49%,2.87%,0.04%,3.05,1.75,4.95,13.12,3,8337,13085,6884,17.3,0.1,0.12,7637,8,0
52,Jarvan IV,Jungle,49.80%,3.67%,0.10%,2.49,4.85,5.42,11.47,6,11327,27033,8525,31.7,6.65,72.42,10319,32,0
53,Jax,Jungle,50.58%,3.29%,0.94%,3.13,6.31,5.89,5.71,7,14254,27157,9588,47.8,8.2,72.77,11083,23,0
54,Jax,Top,47.70%,2.97%,0.94%,3.05,6.35,6.34,4.45,8,18405,25692,4669,162,3.53,5.25,11728,31,0
55,Jayce,Top,47.07%,0.99%,0.05%,2.9,6.05,6.17,6.18,7,21186,20345,2387,172.9,2.18,4.55,11585,35,0
56,Jhin,ADC,51.99%,8.04%,0.42%,3.48,7.25,5.51,8.5,7,20362,17863,3974,171.4,1.69,5.6,12169,1,0
57,Jinx,ADC,50.82%,6.15%,0.13%,3.8,6.77,5.95,7.76,8,19084,17823,2558,173.7,2.41,8.35,12110,12,0
58,Kai'Sa,ADC,47.26%,6.60%,0.16%,NaN,7.36,5.89,6.67,9,18979,18636,3739,176.6,2.16,8.5,12190,16,0
59,Kalista,ADC,48.86%,1.55%,0.12%,2.17,7.78,6.46,7.07,7,18993,20919,4280,174,2.83,9.08,12343,15,0
60,Karma,Support,50.35%,2.55%,0.04%,2.86,2.2,5.44,11.54,5,10921,13875,2747,27.1,0.26,0.4,7796,28,0
61,Karthus,Jungle,47.60%,0.79%,0.06%,4.8,6.91,6.5,7.93,7,22702,25654,9630,40.7,7.53,96.15,11402,13,0
62,Kassadin,Middle,51.15%,2.78%,1.58%,2.26,7.98,5.61,5.44,8,20499,26367,8054,158.1,2.64,7.32,11585,9,0
63,Katarina,Middle,48.26%,3.22%,0.94%,3.13,9.24,6.79,6.12,8,20668,24710,6936,144,1.15,2.47,11630,17,0
64,Kayle,Top,50.47%,1.54%,0.07%,2.7,5.36,5.62,5.96,7,18950,21203,8236,182.1,3.22,7.38,11841,25,0
65,Kayn,Jungle,51.81%,9.37%,1.92%,2.26,7.03,6.05,7.07,10,16432,31231,14299,36.6,9.99,80.38,11086,1,0
66,Kennen,Top,50.07%,0.58%,0.03%,2.49,5.12,5.49,6.46,5,19360,20621,3800,158.5,1.06,2.16,10721,37,0
67,Kha'Zix,Jungle,48.51%,3.64%,0.24%,2.7,7.68,5.75,5.63,8,15985,29442,13700,27.4,9.68,80.56,11032,16,0
68,Kindred,Jungle,47.81%,1.27%,0.04%,2.23,6.12,6.44,6.85,7,15946,26471,13215,34.8,12.87,73.2,10678,36,0
69,Kled,Top,52.21%,0.99%,0.20%,2.72,6.6,5.76,7.56,6,19358,34594,4238,154.1,2.34,3.18,11779,8,0
70,Kog'Maw,ADC,51.40%,0.90%,0.02%,2.19,7.94,6.65,6.95,7,24217,19750,3191,167.6,2.07,9.1,12352,5,0
