SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SUMMER,S10,Tryndamere Tryndamere,0,1,0%,8,,,,,0:00,,,
SUMMER,S10,Brand Brand,1,0,0%,-,0,1,0%,1.5,28:38:00,0.7,423,-12
SUMMER,S10,Rammus Rammus,1,0,0%,-,1,0,100%,4.5,33:07:00,4.6,188,-8
SUMMER,S10,Anivia Anivia,0,1,0%,8,,,,,0:00,,,
SUMMER,S10,Singed Singed,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Warwick Warwick,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Evelynn Evelynn,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Rengar Rengar,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Udyr Udyr,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Lilia Lilia,0,0,0%,-,,,,,0:00,,,
SUMMER,S10,Master Yi Master Yi,0,0,0%,-,,,,,0:00,,,
