Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,Huhi,MID,18,38.90%,3.5,2.8,2.3,5.4,9.3,393,77.30%,29.6,634,1.25,0.53,0.26,0.2,-167,-7,-170,38.90%,5.60%,0,4
Spring,S8,Humanoid,MID,14,100%,8.4,6.2,1.8,8.8,9.6,501,65.70%,32.4,859,1.07,0.56,0.15,0.08,1423,30,1026,0%,0%,0,-
Spring,S8,Huni,TOP,26,61.50%,2.8,2.7,2.8,5.2,9.5,427,65.20%,26,566,1.06,0.5,0.18,0.09,459,12,385,26.90%,11.50%,0,10
Spring,S8,HustlinBeasT,SUPPORT,10,50%,2.2,0.6,3.1,6.2,1.1,252,65.00%,9.3,164,2.13,1.36,0.29,0.43,-179,-8,-46,20%,10%,0,-
Spring,S8,HyBrid,ADC,6,33.30%,2.9,3.5,2.2,2.8,10.9,427,72.90%,26.4,387,1.06,0.39,0.32,0.04,-746,-23,-610,50%,16.70%,0,3
Spring,S8,Hylissang,SUPPORT,39,64.10%,2.9,0.5,2.7,7.6,1.4,258,67.30%,7.2,142,2.18,1.37,0.24,0.48,117,1,70,35.90%,12.80%,0,-
Spring,S8,Ian,MID,52,36.50%,3.3,2.1,1.7,3.4,9.6,392,64.90%,26.3,493,1.29,0.67,0.35,0.22,36,1,-124,30.80%,3.80%,0,4
Spring,S8,Icy,MID,6,66.70%,3.6,3,2.2,4.8,8.9,411,85.00%,21.5,395,0.91,0.48,0.12,0.14,-435,-16,-752,0%,0%,0,1
Spring,S8,IgNar,SUPPORT,44,38.60%,4.2,0.5,1.5,5.6,2.2,260,64.00%,5.3,89,2.73,1.74,0.5,0.55,-27,-1,-82,27.30%,6.80%,0,1
Spring,S8,Impact,TOP,41,61%,3.9,1.9,1.9,5.4,8.3,382,70.80%,21.9,402,0.93,0.56,0.12,0.15,8,-6,-99,24.40%,12.20%,0,7
Spring,S8,Innaxe,ADC,28,32.10%,4.6,3.3,1.7,4.5,9.4,417,69.30%,29.8,556,1.31,0.6,0.35,0.26,-184,-13,-279,3.60%,0%,0,1
Spring,S8,Inspired,JUNGLE,2,0%,1.4,0.5,4.5,6,4.2,275,60.70%,8.3,183,2.46,1.04,0.48,0.35,-762,-25,-404,50%,0%,0,1
Spring,S8,Intreso,JUNGLE,6,33.30%,3.9,3,2.3,6.2,5.6,339,74.10%,12.8,261,1.34,0.51,0.35,0.22,25,1,247,0%,16.70%,0,-
Spring,S8,Ippon,JUNGLE,19,15.80%,2.3,1.5,2.8,4.8,4.7,293,74.10%,10.8,188,2.12,1.2,0.29,0.32,-171,-5,-68,36.80%,0%,0,3
Spring,S8,Itsi,JUNGLE,22,36.40%,3.1,1.8,3,7.5,5.1,323,80.20%,14,265,1.8,0.84,0.39,0.27,-2,7,415,50%,9.10%,0,3
Spring,S8,J1mmy,TOP,1,0%,1.7,1,3,4,6.7,334,45.50%,16.5,196,0.72,0.4,0.08,0.08,-504,40,1257,0%,0%,0,-
